               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.014609,           0.0085798,                   0,             0.99999,                   1,               0.995,             0.78904,             0.00828,           0.0038219,                   0,             0.00571,             0.00571,             0.00571
                  54,            0.013619,           0.0083326,                   0,                   1,                   1,               0.995,             0.80685,            0.006846,           0.0035868,                   0,           0.0056275,           0.0056275,           0.0056275
                  55,             0.01452,           0.0085681,                   0,             0.99999,                   1,               0.995,             0.80789,            0.007152,           0.0035754,                   0,            0.005545,            0.005545,            0.005545
                  56,            0.012898,           0.0087961,                   0,             0.99998,                   1,               0.995,             0.82113,           0.0065919,           0.0035072,                   0,           0.0054625,           0.0054625,           0.0054625
                  57,            0.011752,           0.0087305,                   0,             0.99999,                   1,               0.995,             0.79197,           0.0073009,           0.0037868,                   0,             0.00538,             0.00538,             0.00538
                  58,            0.011863,           0.0084708,                   0,             0.99999,                   1,               0.995,             0.79995,           0.0069009,           0.0035805,                   0,           0.0052975,           0.0052975,           0.0052975
                  59,            0.013873,           0.0085928,                   0,             0.99998,                   1,               0.995,             0.82024,           0.0063745,            0.003558,                   0,            0.005215,            0.005215,            0.005215
                  60,            0.011869,           0.0082703,                   0,                   1,                   1,               0.995,             0.80422,           0.0066777,           0.0039136,                   0,           0.0051325,           0.0051325,           0.0051325
                  61,            0.013674,           0.0084795,                   0,             0.99999,                   1,               0.995,             0.82154,           0.0060926,           0.0036023,                   0,             0.00505,             0.00505,             0.00505
                  62,            0.012277,           0.0079792,                   0,             0.99999,                   1,               0.995,             0.83129,           0.0062225,            0.003563,                   0,           0.0049675,           0.0049675,           0.0049675
                  63,            0.011872,           0.0085127,                   0,             0.99997,                   1,               0.995,             0.81351,           0.0065779,           0.0036652,                   0,            0.004885,            0.004885,            0.004885
                  64,             0.01233,            0.008294,                   0,             0.99997,                   1,               0.995,             0.82992,           0.0067744,            0.003504,                   0,           0.0048025,           0.0048025,           0.0048025
                  65,            0.012735,            0.008866,                   0,             0.99997,                   1,               0.995,             0.80932,           0.0070212,           0.0035002,                   0,             0.00472,             0.00472,             0.00472
                  66,            0.010468,           0.0079265,                   0,             0.99999,                   1,               0.995,             0.80226,           0.0069936,           0.0036604,                   0,           0.0046375,           0.0046375,           0.0046375
                  67,            0.012571,            0.008492,                   0,             0.99998,                   1,               0.995,             0.81323,           0.0069232,           0.0034718,                   0,            0.004555,            0.004555,            0.004555
                  68,            0.010885,             0.00832,                   0,             0.99999,                   1,               0.995,             0.82132,             0.00655,           0.0032748,                   0,           0.0044725,           0.0044725,           0.0044725
                  69,            0.010348,           0.0082941,                   0,                   1,                   1,               0.995,             0.81309,           0.0068575,           0.0034228,                   0,             0.00439,             0.00439,             0.00439
                  70,            0.012168,           0.0079517,                   0,             0.99998,                   1,               0.995,             0.80763,           0.0073308,            0.003534,                   0,           0.0043075,           0.0043075,           0.0043075
                  71,           0.0095931,           0.0080028,                   0,             0.99999,                   1,               0.995,             0.81271,           0.0069801,           0.0036505,                   0,            0.004225,            0.004225,            0.004225
                  72,            0.013356,           0.0082616,                   0,             0.99998,                   1,               0.995,             0.80177,           0.0068546,           0.0038304,                   0,           0.0041425,           0.0041425,           0.0041425
                  73,            0.012271,           0.0081801,                   0,             0.99997,                   1,               0.995,             0.80678,           0.0072406,            0.003753,                   0,             0.00406,             0.00406,             0.00406
                  74,            0.011372,           0.0083339,                   0,                   1,                   1,               0.995,             0.81787,           0.0065845,           0.0036708,                   0,           0.0039775,           0.0039775,           0.0039775
                  75,           0.0097356,           0.0078694,                   0,                   1,             0.99997,               0.995,             0.81008,           0.0071153,           0.0036277,                   0,            0.003895,            0.003895,            0.003895
                  76,            0.011291,           0.0072418,                   0,             0.99999,                   1,               0.995,             0.81758,           0.0066128,            0.003559,                   0,           0.0038125,           0.0038125,           0.0038125
                  77,           0.0095428,           0.0075928,                   0,                   1,                   1,               0.995,             0.82205,           0.0062129,           0.0035596,                   0,             0.00373,             0.00373,             0.00373
                  78,           0.0097591,           0.0074318,                   0,                   1,                   1,               0.995,             0.81652,           0.0063506,           0.0036262,                   0,           0.0036475,           0.0036475,           0.0036475
                  79,            0.010567,           0.0081774,                   0,             0.99998,                   1,               0.995,             0.81238,           0.0068329,            0.003545,                   0,            0.003565,            0.003565,            0.003565
                  80,            0.010738,           0.0078356,                   0,             0.99999,                   1,               0.995,             0.82001,           0.0064999,           0.0036466,                   0,           0.0034825,           0.0034825,           0.0034825
                  81,            0.011537,           0.0076099,                   0,                   1,                   1,               0.995,             0.82191,           0.0066952,           0.0037519,                   0,              0.0034,              0.0034,              0.0034
                  82,           0.0088659,            0.007261,                   0,             0.99999,                   1,               0.995,             0.81852,           0.0066707,           0.0036817,                   0,           0.0033175,           0.0033175,           0.0033175
                  83,            0.010151,           0.0074814,                   0,             0.99997,                   1,               0.995,             0.81639,           0.0068164,           0.0037522,                   0,            0.003235,            0.003235,            0.003235
                  84,            0.010026,           0.0072888,                   0,             0.99999,                   1,               0.995,             0.81239,           0.0066588,           0.0038701,                   0,           0.0031525,           0.0031525,           0.0031525
                  85,           0.0096749,           0.0072113,                   0,             0.99998,                   1,               0.995,             0.80625,           0.0067829,           0.0037175,                   0,             0.00307,             0.00307,             0.00307
                  86,           0.0091092,            0.007003,                   0,             0.99999,                   1,               0.995,             0.80033,           0.0061155,           0.0038981,                   0,           0.0029875,           0.0029875,           0.0029875
                  87,            0.012751,           0.0073887,                   0,             0.99998,                   1,               0.995,             0.81468,           0.0059699,           0.0036097,                   0,            0.002905,            0.002905,            0.002905
                  88,             0.01013,           0.0075476,                   0,                   1,                   1,               0.995,             0.83281,           0.0060939,           0.0034416,                   0,           0.0028225,           0.0028225,           0.0028225
                  89,           0.0092816,           0.0075346,                   0,                   1,                   1,               0.995,             0.82591,           0.0064709,           0.0034854,                   0,             0.00274,             0.00274,             0.00274
                  90,           0.0098755,           0.0075024,                   0,             0.99998,                   1,               0.995,             0.82686,           0.0067772,           0.0035557,                   0,           0.0026575,           0.0026575,           0.0026575
                  91,            0.010948,           0.0074108,                   0,             0.99998,                   1,               0.995,             0.82156,           0.0066977,           0.0035353,                   0,            0.002575,            0.002575,            0.002575
                  92,            0.010376,           0.0074549,                   0,                   1,                   1,               0.995,              0.8271,           0.0065373,           0.0033416,                   0,           0.0024925,           0.0024925,           0.0024925
                  93,           0.0083589,           0.0073411,                   0,                   1,                   1,               0.995,             0.83029,           0.0062599,           0.0032857,                   0,             0.00241,             0.00241,             0.00241
                  94,           0.0085376,           0.0074547,                   0,                   1,             0.99998,               0.995,             0.82147,           0.0058797,           0.0034354,                   0,           0.0023275,           0.0023275,           0.0023275
